"model_instance","model","dataset","prompt_mode","engine","seed","speedup_vs_no_cache_mean","speedup_vs_no_cache_p95","energy_reduction_vs_no_cache_pct","idle_adjusted_energy_reduction_vs_no_cache_pct","hit_rate","reuse_successes","reused_prefix_tokens_total","wasted_compute_ratio","source_json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","alpaca_eval","semantic","shadow_kv","456","1.01476734074412","0.928641554949345","-3.61212769513214","-0.462772410677668","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\alpaca_eval\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_alpaca_eval_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","alpaca_eval","semantic","shadow_kv_plus","456","1.06310880001473","1.03787818875209","10.7124636768959","9.54601241260754","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\alpaca_eval\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_alpaca_eval_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","alpaca_eval","semantic","shadow_kv","789","1.08191668266378","0.972431684161127","-4.4979385518855","-8.25257674885632","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\alpaca_eval\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_alpaca_eval_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","alpaca_eval","semantic","shadow_kv_plus","789","1.09035408588484","1.12299764904088","16.8001671208281","6.99218022734534","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\alpaca_eval\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_alpaca_eval_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","alpaca_eval","semantic","shadow_kv","999","0.938227526290299","1.02923181644243","-2.46960680256257","-10.5719212561335","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\alpaca_eval\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_alpaca_eval_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","alpaca_eval","semantic","shadow_kv_plus","999","1.04679499215278","1.12041561224655","14.6635731191507","6.74417022871647","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\alpaca_eval\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_alpaca_eval_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","banking77","semantic","shadow_kv","42","0.999863173693435","0.998326568098826","-0.982685139747007","-1.87969942070929","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\banking77\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","banking77","semantic","shadow_kv_plus","42","1.0771460804602","1.06862772517254","11.6281400211591","12.8203965977488","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\banking77\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","banking77","semantic","shadow_kv","123","0.950277133341718","1.00886615860017","-0.0992057410376721","-7.0942377525657","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\banking77\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","banking77","semantic","shadow_kv_plus","123","1.02182505310425","1.03644251158001","8.7805466864691","12.3472089946826","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\banking77\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","banking77","semantic","shadow_kv","456","1.0011673699956","1.00397346114134","-1.8988523065016","-3.10316067195136","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\banking77\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","banking77","semantic","shadow_kv_plus","456","1.0623737764207","1.06578766520281","12.0108760655585","13.4065962660489","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\banking77\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","banking77","semantic","shadow_kv","789","0.943489878039616","1.0028819809816","1.51149636078954","-3.63679615770845","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\banking77\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","banking77","semantic","shadow_kv_plus","789","0.955707316912765","1.04260886225957","18.6114345335829","19.4020169888868","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\banking77\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","banking77","semantic","shadow_kv","999","1.08233979232036","1.070712825102","-1.04391275163434","-1.30119582538523","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\banking77\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","banking77","semantic","shadow_kv_plus","999","1.13959507872807","1.06819006821538","11.0705567500402","10.4576793747646","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\banking77\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","cnn_dailymail","semantic","shadow_kv","42","0.998266896184826","0.998514037741289","-0.882319740586055","-1.51981902791779","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\cnn_dailymail\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","cnn_dailymail","semantic","shadow_kv_plus","42","2.33096816608335","2.47088496784829","60.582723579801","64.2248868390467","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\cnn_dailymail\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","cnn_dailymail","semantic","shadow_kv","123","0.93549711356505","1.05566091870013","0.371237498314211","-2.27691562142374","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\cnn_dailymail\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","cnn_dailymail","semantic","shadow_kv_plus","123","2.35308412174157","2.58825378503629","61.5197149762862","63.7654750866333","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\cnn_dailymail\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","cnn_dailymail","semantic","shadow_kv","456","1.00161961930149","0.972572449254287","-3.54414328678379","0.271481850125803","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\cnn_dailymail\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","cnn_dailymail","semantic","shadow_kv_plus","456","2.38629139964204","2.39416152623506","57.7667421931839","65.1642780498808","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\cnn_dailymail\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","cnn_dailymail","semantic","shadow_kv","789","0.937120780868753","0.947693407715808","6.06057739476006","2.02243406579928","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\cnn_dailymail\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","cnn_dailymail","semantic","shadow_kv_plus","789","2.19698784555225","2.44394858211122","64.0227508341719","65.5551837469736","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\cnn_dailymail\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","cnn_dailymail","semantic","shadow_kv","999","0.995356583095077","1.02890506104982","-1.74138373997412","-1.72782336716629","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\cnn_dailymail\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","cnn_dailymail","semantic","shadow_kv_plus","999","2.36886263197269","2.43595277273579","59.3501448596371","65.0458122441345","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\cnn_dailymail\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json"
