model,dataset,prompt_mode,seed,engine,runtime_kind,literature_accurate_external_runtime,mean_latency_ms,p50_latency_ms,p95_latency_ms,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,hit_rate,cached_tokens_total,cached_tokens_mean,wasted_compute_ratio,reuse_attempts,reuse_successes,speculative_hits,speculative_hit_rate,wasted_compute_ms,utility_proxy_ms,policy_plans_total,policy_bypass_total,policy_exact_total,policy_semantic_partial_total,admission_controller_enabled,admission_plans_total,admission_allow_total,admission_bypass_total,admission_runtime_cache_resets,supports_external_kv,supports_native_prefix_caching,source_json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,templated,42.0,reactive_prefix_cache,,,45.07069568748534,39.02143699951921,66.8802523998238,0.7840091495777297,0.5803099839930287,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,templated,42.0,strict_reactive_prefix_cache,,,41.07450592198347,38.713078999535355,54.38961435020245,0.860286374812118,0.7135788452128822,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,templated,42.0,greedy_prefix_cache,,,40.04004104686487,38.82365650088104,43.20119164967764,0.8825125267844556,0.8983844361126802,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,templated,42.0,frequency_speculative,,,40.55375357812352,39.85722049947071,46.20999760036284,0.8713333459688363,0.8398892061246661,0.96875,,,0.0,62.0,62.0,62.0,1.0,0.0,2337.713967941454,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,templated,42.0,idle_energy_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_templated_cuda.json
,,,,gpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/run_manifest.json
,,,,env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/run_manifest.json
,,,,config_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/main_hf/run_manifest.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,templated,42.0,vllm_apc,vllm,True,69.38987415630038,30.640373000551335,83.70926150064383,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/runtime/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_daily_dialog_templated.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,templated,42.0,vllm_apc_shadowkv_plus,vllm,True,45.710157687480546,32.22390799965069,98.02245404994208,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,64.0,63.0,1.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/daily_dialog/runtime/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_daily_dialog_templated.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,templated,42.0,no_cache,,,43.1913224373659,42.07789599968237,58.882855198771715,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,templated,42.0,shadow_kv_plus_lite,,,39.78492196884531,35.73213750132709,54.12182024883805,1.085620388326715,1.0879688622452768,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,templated,42.0,shadow_kv_plus,,,41.58396912478679,38.98096750072,60.27119269892861,1.0386531960851475,0.9769651563543461,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,64.0,1.0,63.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,templated,42.0,shadow_kv,,,40.88943493761121,39.54122950108285,53.42222130120715,1.0562954098844086,1.102216526467071,0.984375,,,0.0,63.0,63.0,63.0,1.0,0.0,2404.3780530319054,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,templated,42.0,reactive_prefix_cache,,,42.26646240638843,39.77598549954564,57.774900251024505,1.0218816522207375,1.0191770984100932,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,templated,42.0,strict_reactive_prefix_cache,,,46.024407312330595,40.680322499611066,64.56286815164275,0.9384438596734374,0.9120235343397378,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,templated,42.0,greedy_prefix_cache,,,47.19087346842343,41.704218499944545,65.49238194966165,0.9152473616803526,0.899079456966917,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,templated,42.0,frequency_speculative,,,46.94382148426257,42.25527749986213,61.808644251232174,0.9200640482975025,0.95266375621235,0.96875,,,0.0,62.0,62.0,62.0,1.0,0.0,2275.2345220651478,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,templated,42.0,idle_energy_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_templated_cuda.json
,,,,gpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/run_manifest.json
,,,,env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/run_manifest.json
,,,,config_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/main_hf/run_manifest.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,templated,42.0,vllm_apc,vllm,True,79.1350794532093,32.44836950034369,57.77741974898159,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/runtime/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_oasst1_templated.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,templated,42.0,vllm_apc_shadowkv_plus,vllm,True,32.489573468893695,31.128095000894973,39.59456475095067,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,64.0,63.0,1.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/oasst1/runtime/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_oasst1_templated.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,templated,42.0,no_cache,,,46.166586281174204,40.688170498469844,68.11880924906286,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,templated,42.0,shadow_kv_plus_lite,,,45.969535625005165,41.16939349933091,68.03079554902065,1.004286548765175,1.0012937332179042,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,templated,42.0,shadow_kv_plus,,,45.0630140781243,40.44709499976307,62.11740669805294,1.024489533725744,1.0966138618790413,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,64.0,1.0,63.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,templated,42.0,shadow_kv,,,46.80636634381585,42.8926294998746,63.690689698978524,0.9863313452289343,1.0695253822970512,0.984375,,,0.0,63.0,63.0,63.0,1.0,0.0,2193.4964519441564,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,templated,42.0,reactive_prefix_cache,,,48.92747412503695,43.2089799996902,67.33869289819268,0.9435718296675781,1.0115849642648933,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,templated,42.0,strict_reactive_prefix_cache,,,49.105405859336315,44.82719200041174,66.77986595022958,0.940152829882306,1.0200501046203236,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,templated,42.0,greedy_prefix_cache,,,48.75039714059426,43.00195900032122,67.49581974936518,0.9469991833714001,1.0092300456829928,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,templated,42.0,frequency_speculative,,,45.71313648446562,41.46370549915446,66.1099108006965,1.0099194636723883,1.0303872509285734,0.96875,,,0.0,62.0,62.0,62.0,1.0,0.0,2223.7934319527994,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,templated,42.0,idle_energy_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_templated_cuda.json
,,,,gpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/run_manifest.json
,,,,env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/run_manifest.json
,,,,config_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/main_hf/run_manifest.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,templated,42.0,vllm_apc,vllm,True,84.54582895305407,33.826687499640684,67.91597729970816,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/runtime/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_samsum_templated.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,templated,42.0,vllm_apc_shadowkv_plus,vllm,True,35.006735281228885,31.57571049996477,52.89000860020677,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,64.0,63.0,1.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/samsum/runtime/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_samsum_templated.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,templated,42.0,no_cache,,,60.6274397501636,59.74629150023247,74.55373289840281,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,templated,42.0,shadow_kv_plus_lite,,,61.26465510951107,60.32381749992055,74.6821197999452,0.9895989725526335,0.9982808883587356,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,templated,42.0,shadow_kv_plus,,,58.98071365632518,59.66124899987335,67.07758069869669,1.0279197383645395,1.111455304765507,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,64.0,1.0,63.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,templated,42.0,shadow_kv,,,58.96878556254137,59.489540000868146,67.69178745189492,1.0281276640140926,1.101370427710811,0.984375,,,0.0,63.0,63.0,63.0,1.0,0.0,2293.3866690000286,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,templated,42.0,reactive_prefix_cache,,,61.00338560924001,60.82295449959929,68.9007315996605,0.9938372951710492,1.0820455917883194,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,templated,42.0,strict_reactive_prefix_cache,,,62.33875659381738,61.84572149959422,70.60440169934736,0.9725481075151329,1.0559360479516953,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,templated,42.0,greedy_prefix_cache,,,62.45085467185163,62.27449049947609,71.67261190043064,0.9708024024447837,1.0401983536190185,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,templated,42.0,frequency_speculative,,,63.02953049993221,63.24261800000386,71.02926769994156,0.9618894392721014,1.049619900536637,0.96875,,,0.0,62.0,62.0,62.0,1.0,0.0,2174.584094034799,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_templated_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,templated,42.0,idle_energy_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_templated_cuda.json
,,,,gpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/run_manifest.json
,,,,env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/run_manifest.json
,,,,config_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/main_hf/run_manifest.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,templated,42.0,vllm_apc,vllm,True,91.92689606237536,58.347815499473654,79.45845515059773,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/runtime/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_ultrachat_templated.json
Qwen/Qwen2.5-1.5B-Instruct,ultrachat,templated,42.0,vllm_apc_shadowkv_plus,vllm,True,53.88806506246624,56.59920150083053,67.60198594947722,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,64.0,63.0,1.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/templated/seed_42/ultrachat/runtime/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_ultrachat_templated.json
