         24895 function calls (24686 primitive calls) in 0.494 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\prefix_gate.py:15(breakeven_prefix_len)
       16    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1824(_should_store_scaffold_on_bypass)
       35    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1679(_semantic_best_match)
       16    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\utility.py:53(_health)
  363/295    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
     1280    0.000    0.000    0.000    0.000 {built-in method math.log2}
     1085    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:508(<genexpr>)
       60    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:112(get_frequency)
       80    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1611(_semantic_enabled_for_request)
       19    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:218(admit_match)
       46    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:408(notify)
      467    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
       76    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:116(get_observation_count)
       19    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:464(_calibrated_scaffold_saved_ms)
       30    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1632(_should_use_semantic_analysis)
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:102(add)
    46/45    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1241(_ensure_worker_started)
      467    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      188    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      586    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:41(sketch)
       26    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:311(_update_full_cost_stats)
       92    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:313(__enter__)
       19    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:320(_update_reuse_cost_stats)
      361    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       92    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:316(__exit__)
       35    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
      310    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       47    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:328(_is_owned)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       34    0.000    0.000    0.000    0.000 C:\Python314\Lib\typing.py:1292(__instancecheck__)
       16    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\prefix_gate.py:8(transfer_ms_per_token)
       26    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:215(record_miss)
