workload_id,engine,balanced_mean_ms,low_latency_mean_ms,balanced_p95_ms,low_latency_p95_ms,balanced_query_mb,low_latency_query_mb,query_mb_delta_pct,balanced_miss_waste_ratio,low_latency_miss_waste_ratio,balanced_failure_waste_ratio,low_latency_failure_waste_ratio,balanced_bypass,low_latency_bypass,balanced_skip_lookup,low_latency_skip_lookup,balanced_skip_write,low_latency_skip_write,balanced_adjusted_skip_lookup_rows
pathological_semantic_ag_news,vllm_apc,14.64728643077251,14.293742384325014,17.022006679326296,16.3025104557164,957.78816,957.78816,0.0%,0.5152821433917079,0.5152821433917079,0.5589881754228408,0.39086963029486604,0,0,0,0,0,0,0
pathological_semantic_ag_news,vllm_apc_shadowkv_plus,14.953017832340265,14.979259660321986,16.905216732993722,16.755367745645344,957.78816,957.78816,0.0%,0.5152821433917079,0.5152821433917079,0.5902409818889388,0.5813800329292023,7,4,0,0,0,0,0
pathological_semantic_ag_news,sglang_radix_attention,10.895051304032677,11.08649924481142,12.932323035784066,13.384889753069729,957.78816,957.78816,0.0%,0.4672953150725939,0.4672953150725939,0.41251309684179016,0.4554408022751085,0,0,0,0,0,0,0
pathological_semantic_ag_news,sglang_radix_attention_shadowkv_plus,20.23262263628567,11.53772418092558,23.64089322509244,13.693476328626275,6.766592,957.78816,-99.3%,0.4025423728813559,0.4694506810357731,0.5169491525423728,0.5852716659182757,254,4,254,4,250,0,254
pathological_templated_ag_news,vllm_apc,14.291184731519024,14.497006360215892,16.14612201228738,16.29079331178218,1308.274688,1308.274688,0.0%,0.3737316180499244,0.3737316180499244,0.3130026956540796,0.3772600758289684,0,0,0,0,0,0,0
pathological_templated_ag_news,vllm_apc_shadowkv_plus,15.091742963704746,14.890467513396288,17.145507677923888,16.63778768852353,1308.274688,1308.274688,0.0%,0.3737316180499244,0.3737316180499244,0.6173924477853996,0.5129194152841394,1,1,0,0,0,0,0
pathological_templated_ag_news,sglang_radix_attention,11.321291265630862,10.995548104801856,13.454510655719787,13.066834944766015,1308.274688,1308.274688,0.0%,0.3338447040259484,0.3338447040259484,0.5172587608757588,0.42521203620504505,0,0,0,0,0,0,0
pathological_templated_ag_news,sglang_radix_attention_shadowkv_plus,11.59952219677507,12.014257917144278,13.68447847198695,15.843915636651218,1303.113728,1308.274688,-0.4%,0.33120640718167615,0.3338447040259484,0.5533895135206495,0.7063928641872493,1,1,1,1,0,0,1
control_templated_samsum,vllm_apc,15.15286228095647,15.139145016291877,17.048294539563358,17.1437943354249,2040.270848,2040.270848,0.0%,0.5359125339029497,0.5359125339029497,0.3268314619373516,0.30992565943872175,0,0,0,0,0,0,0
control_templated_samsum,vllm_apc_shadowkv_plus,15.634007660082716,15.39844443595939,18.61119718523696,17.67530251527205,2040.270848,2040.270848,0.0%,0.5359125339029497,0.5359125339029497,0.4743321294565691,0.4050366081591928,1,1,0,0,0,0,0
control_templated_samsum,sglang_radix_attention,11.601137986872345,11.50241507912142,14.09532007528469,13.527772098314017,2040.270848,2040.270848,0.0%,0.4909147121235543,0.4909147121235543,0.34160120293989515,0.3096445987155525,0,0,0,0,0,0,0
control_templated_samsum,sglang_radix_attention_shadowkv_plus,12.48403111458174,11.984319211478578,15.013267286121845,14.048445620574057,2026.96704,2040.270848,-0.7%,0.48757337859820354,0.4909147121235543,0.569375486243723,0.4368667350581093,1,1,1,1,0,0,1
