engine,mode,dataset,avg_latency_ms,ref_dataset,avg_ref_latency_ms,difficulty_multiplier,is_measured,n_models_compared
sglang_radix_attention,rag,ag_news,36.60889654920538,ag_news,36.60889654920538,1.0,True,5
sglang_radix_attention,rag,daily_dialog,36.995381652286596,ag_news,36.60889654920538,1.0105571360929098,True,5
sglang_radix_attention,rag,dolly,37.189251264256505,ag_news,36.60889654920538,1.0158528327744345,True,5
sglang_radix_attention,rag,samsum,39.07945616283541,ag_news,36.60889654920538,1.0674852248089313,True,5
sglang_radix_attention,rag,xsum,46.51320504744945,ag_news,36.60889654920538,1.2705437593545563,True,5
sglang_radix_attention,rag,banking77,67.11725109306931,ag_news,36.60889654920538,1.8333590307169783,False,5
sglang_radix_attention,rag,alpaca_eval,76.3451906399373,ag_news,36.60889654920538,2.0854272550204582,False,5
sglang_radix_attention,rag,oasst1,77.11339540683608,ag_news,36.60889654920538,2.1064113555891884,False,5
sglang_radix_attention,rag,ultrachat,81.93358274677878,ag_news,36.60889654920538,2.2380784582417905,False,5
sglang_radix_attention,rag,cnn_dailymail,89.01171915247824,ag_news,36.60889654920538,2.4314231660284853,False,5
sglang_radix_attention,templated,ag_news,36.4808999416103,ag_news,36.4808999416103,1.0,True,5
sglang_radix_attention,templated,daily_dialog,36.9630710291555,ag_news,36.4808999416103,1.0132170831398606,True,5
sglang_radix_attention,templated,dolly,37.04176032109293,ag_news,36.4808999416103,1.01537408288667,True,5
sglang_radix_attention,templated,samsum,39.05595953198523,ag_news,36.4808999416103,1.0705865149844562,True,5
sglang_radix_attention,templated,xsum,46.341181748266536,ag_news,36.4808999416103,1.2702861448713754,True,5
sglang_radix_attention,templated,banking77,66.88851740980195,ag_news,36.4808999416103,1.8335215829889262,False,5
sglang_radix_attention,templated,alpaca_eval,76.09120851855388,ag_news,36.4808999416103,2.0857821117445585,False,5
sglang_radix_attention,templated,oasst1,77.05214849151446,ag_news,36.4808999416103,2.112123018205162,False,5
sglang_radix_attention,templated,ultrachat,81.8661304057792,ag_news,36.4808999416103,2.2440819863767194,False,5
