         211833 function calls (211493 primitive calls) in 0.546 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:553(_should_attempt_cache_use)
     2405    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     1471    0.000    0.000    0.000    0.000 {built-in method time.time}
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      347    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:334(_shared_prefix_hint)
  564/364    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       46    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:630(set)
       92    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:348(_has_scaffold_hint)
     1643    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:508(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1911(_store_scaffold_bypass_prefix_from_prefill)
       45    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1251(_after_record)
     1276    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       35    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1659(_record_plan)
       16    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\prefix_gate.py:15(breakeven_prefix_len)
      100    0.000    0.000    0.000    0.000 C:\Python314\Lib\typing.py:1292(__instancecheck__)
       16    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\utility.py:53(_health)
       45    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:641(clear)
     1050    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       46    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:438(notify_all)
      759    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
     1280    0.000    0.000    0.000    0.000 {built-in method math.log2}
       27    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:218(admit_match)
      995    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       80    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1611(_semantic_enabled_for_request)
      100    0.000    0.000    0.000    0.000 C:\Python314\Lib\typing.py:1583(__subclasscheck__)
      759    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       71    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:116(get_observation_count)
        4    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:247(store)
       27    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:320(_update_reuse_cost_stats)
      211    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       46    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:408(notify)
      915    0.000    0.000    0.000    0.000 <string>:2(__init__)
       60    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2082(_is_raw_prompt)
    46/45    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1241(_ensure_worker_started)
       90    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:165(branching_factor)
       87    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:94(contains)
      915    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:167(<lambda>)
       19    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:464(_calibrated_scaffold_saved_ms)
       53    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
      159    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      100    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        4    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:527(_trie_insert_unlocked)
       38    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2149(_is_raw_fast_bypass_active)
       92    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:313(__enter__)
       18    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:311(_update_full_cost_stats)
       92    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:316(__exit__)
      327    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      454    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      261    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
