model,runtime,pairs,mean_latency_delta_pct,mean_p95_delta_pct,mean_throughput_delta_pct,mean_energy_delta_pct,latency_wins,p95_wins
google/gemma-4-E2B-it,vllm_apc,10,-0.11952741939460498,2.2013270406444407,0.47404532206178907,-2.2654049757009576,5,4
google/gemma-4-E2B-it,sglang_radix_attention,10,0.13528217004072918,0.22789163368144294,-0.054843868678911,-1.5081027103646227,5,5
google/gemma-4-E2B-it,lmcache,10,3.073953990808187,5.981897918228163,-2.880504769802106,0.9933776417597073,2,1
google/gemma-4-E4B-it,vllm_apc,10,5.753523113891967,5.76114651532591,-5.253318254423666,2.0261236440850983,1,1
google/gemma-4-E4B-it,sglang_radix_attention,10,-3.518524882799523,-2.724690950995634,3.696480846988326,-2.9751162150428057,9,8
google/gemma-4-E4B-it,lmcache,10,8.129194662359641,9.61896335271386,-7.406082031378302,3.131111730702374,0,0
google/gemma-4-12B-it,vllm_apc,10,12.104937266294202,11.278811447380232,-10.690309002458653,3.5388009611906357,0,0
google/gemma-4-12B-it,sglang_radix_attention,10,-3.52158147455377,-3.5206643570080187,3.7901532576217756,-1.6219124939631735,7,7
google/gemma-4-12B-it,lmcache,10,2.082818962072097,3.235993764227829,-2.0338954427671196,0.28435714772696574,0,0
google/gemma-4-26B-A4B-it,vllm_apc,10,0.19463935957246825,1.3393811103146414,-0.14085912824661762,-0.36858229561888,4,2
google/gemma-4-26B-A4B-it,sglang_radix_attention,10,0.9058437331804559,1.2773565748860127,-0.8761894725840991,0.12899881930115153,1,2
google/gemma-4-26B-A4B-it,lmcache,10,-6.206718406058476,-5.1631699740604775,6.729729612325763,-3.2683297807221456,9,9
google/gemma-4-31B-it,vllm_apc,10,-4.867633300468643,-4.616535630769758,5.19693340125964,-2.7884652415361977,9,9
google/gemma-4-31B-it,sglang_radix_attention,10,-4.9397017736216515,-3.98805308366329,5.246817073412968,-2.482551666676258,10,10
google/gemma-4-31B-it,lmcache,10,3.6523467748797778,3.0814132920988113,-3.492831904872329,3.0347238377810726,0,0
